MONTH,DAY,STATION,DIRECTION,TIME_05,TIME_06,TIME_07,TIME_08,TIME_09,TIME_10,TIME_11,TIME_12,TIME_13,TIME_14,TIME_15,TIME_16,TIME_17,TIME_18,TIME_19,TIME_20,TIME_21,TIME_22,TIME_23,TIME_24
1,금,경복궁,상선,13.8,9.45,12.9,13.8,13.7,15.65,19.55,30.4,30.05,33.35,56.15,56.55,107.25,112.35,76.2,52.55,48.95,49.4,30.5,11.45
1,금,경복궁,하선,30.5,43.95,86.75,124.25,76.3,59.6,46.2,45.6,52.3,36.7,41,50.65,36.3,38,17.95,13.45,16.15,13.1,8.1,2.95
1,금,경찰병원,상선,10.5,14.3,26.45,32.25,18.05,10.45,10.65,11.3,8.55,10,7.9,12.6,14,12.9,5.3,3.9,3.75,3.65,1.6,0.5
1,금,경찰병원,하선,0,4.7,6.2,9.75,4.4,4.5,5.9,5.55,6.8,7.55,9.2,16.5,19.2,22.2,14.95,9.35,9.8,10,7.1,2.1
1,금,고속터미널,상선,7.8,12.95,29.65,53,63.05,36.8,43.8,52.6,43.65,50.45,57.3,58.3,88.6,90.4,54.7,37.4,34.1,37.05,16.75,7.8
1,금,고속터미널,하선,18.5,39.65,68.85,112.8,61.65,44,44.45,41.7,57.2,50,49.8,71.35,56.85,74.5,40.15,30.65,32.65,32.2,17.6,7.45
1,금,교대,상선,9.5,16.5,35.95,54.8,57.25,41.25,50.35,60.9,49.25,58.55,68.45,76.5,113.85,123.6,68.55,43.3,43.05,47.95,19.5,9.5
1,금,교대,하선,26,42.15,64,104.15,48.95,34.3,34.4,35.15,46.95,43.7,43.25,64.25,52.55,67.25,35.2,27.45,30.05,30.85,17.3,6.65
1,금,구파발,상선,25.7,11.35,12.1,12.25,9.05,9.6,11.85,18.4,21.25,19.2,32.55,30.5,59.5,59.25,43.8,27,28.55,21.95,17.65,3.85
1,금,구파발,하선,16.2,31.45,65.65,80.1,44.95,40.3,31.15,32.15,31.9,21.6,29.2,27.6,24.45,20.35,11.35,9.55,9.85,8.95,4.85,2.1
1,금,금호,상선,10.6,10.35,27.75,51.15,44.4,32.95,44.05,54,44.4,46.95,61.05,60.75,97.3,104.95,76.35,49.55,43.35,49.4,23.5,12.95
1,금,금호,하선,35.8,41.2,68.6,101.3,76.3,52.75,46,47.55,59.55,51.15,55.05,76.3,57.1,80.3,33.55,24.25,27.9,26.8,16.1,6.05
1,금,남부터미널,상선,9.1,14.1,35,52.85,48.85,36.85,43.45,49.35,39.6,45.45,54.1,64,96.6,102.65,53.85,34.45,34.7,38.55,14.2,6.55
1,금,남부터미널,하선,24.1,36.4,55.5,81.9,39.65,28.25,29.9,30.95,41.15,37.8,36.7,57.35,50.1,65.5,34.75,26.45,30.4,28.1,16.3,6
1,금,녹번,상선,20.1,12.05,14.7,15.15,14.2,15.3,19.3,28.85,31.7,31.9,53.8,52.25,94.5,108.45,69.05,49.75,44.05,42.85,29.85,12.25
1,금,녹번,하선,42,50.75,100.85,131.55,79.65,60.85,43.45,42.3,45.05,30.55,34.8,35.15,27.4,24.55,14.4,10.15,11.2,9.7,6.25,2.4
1,금,대청,상선,8,10.4,28.7,47.55,31.95,21.15,21.85,23.9,17.7,20.95,20.4,30.25,29.65,25.9,12.8,8.85,7.8,7.85,4.65,2.45
1,금,대청,하선,8.1,15.3,19.6,21.9,11.35,9.85,11.55,12.9,17,19.1,18.2,27.75,31.3,41.8,20.5,15.95,15.75,19.45,7.8,3.45
1,금,대치,상선,7.6,13.1,31.2,51.2,35.2,23.4,24.05,27.15,20.5,22.85,22.6,30.5,34.25,30,16.3,11.1,10.3,13.7,5.15,2.45
1,금,대치,하선,8,16.35,21.9,25.1,11.95,10.75,12.75,14.45,19.3,20.75,19.35,32.35,33.25,46.75,23.35,18.1,18.85,24.4,10,4.25
1,금,도곡,상선,9.2,14.65,34.35,60.95,40.95,27.15,28.45,32.05,24.35,26.6,27.85,36.4,42.3,37.05,20.45,13.55,12.7,18.3,6.3,2.85
1,금,도곡,하선,8.2,18.5,24,29.7,13.65,13.35,15.4,18.35,24.2,25.6,23.6,38.5,38.7,52.2,26.45,19.4,21.55,22.2,12.8,5.15
1,금,독립문,상선,14.3,9.95,12.25,13.65,14.05,14.55,19.75,29.5,30.75,33.25,57.7,57.05,109.65,116.45,77.7,53.8,49.95,50.15,30.7,13.55
1,금,독립문,하선,31.2,48.1,92.85,134.25,81.3,61.45,44.8,43.7,47.85,30.6,32.8,38.05,27.1,25.6,13.5,9.5,10.7,8.7,5.8,1.75
1,금,동대입구,상선,7.3,8.45,22,37.7,31.5,24.7,31.95,40.5,33.3,36.5,48.35,44.95,73.3,74.2,56.05,37.55,33.25,35.3,17.8,8.3
1,금,동대입구,하선,19.9,28.6,47.45,66.5,50.35,37.65,32.3,34.8,43.95,38.9,42.55,61.15,46,63.9,26.05,19.75,23.3,20.75,13.1,4.55
1,금,매봉,상선,10.3,15,35.25,60,45.1,29.3,30.65,34.85,27.15,29.4,32.2,41.1,49.7,47.8,23.95,16.2,15.7,19.25,7.4,3.05
1,금,매봉,하선,9.5,22,28.7,33.35,17.25,16.4,19.1,22,28.25,30.75,27.9,47.3,46.3,64.15,31,23.6,26.95,24.4,14,4.85
1,금,무악재,상선,16.4,11.35,13.6,14.95,14.95,15.8,21.4,31.35,34.4,35.85,62.8,60.75,118.95,125.9,83.5,57.95,53.15,53.7,34,14.25
