MONTH,DAY,STATION,DIRECTION,TIME_05,TIME_06,TIME_07,TIME_08,TIME_09,TIME_10,TIME_11,TIME_12,TIME_13,TIME_14,TIME_15,TIME_16,TIME_17,TIME_18,TIME_19,TIME_20,TIME_21,TIME_22,TIME_23,TIME_24
1,금,강동,상선,25.2,40.6,66.95,93.9,70.8,49.95,41.25,44.6,36.55,34.2,37.05,45.6,44.85,47.1,33.1,23.1,20.05,20.8,11.85,3.05
1,금,강동,하선,8.6,22.15,33.15,62.05,22.3,20.85,27.45,35.4,38.5,38.6,49.55,61.1,66.55,93.35,70,55.15,54.75,46.5,31.2,15.05
1,금,개롱,상선,25.4,27.2,65.7,70.15,42.75,31.1,24.6,26.65,24.6,22.3,21.85,32.05,23.75,27,17.75,11.95,10.7,8.95,4.25,1.05
1,금,개롱,하선,1.9,6.8,7.6,21,8.1,7.55,11,14.5,16.95,18.45,24.45,33.2,23.6,43.15,35.6,27.95,25.75,26.3,16.35,7
1,금,거여,상선,20.1,22.35,51.3,54.55,32.1,22.4,17.7,19.1,17.55,16.05,15.25,20.7,15,17.4,11.35,7.8,6.95,5.4,2.8,0.75
1,금,거여,하선,0.7,2.65,2.3,7.85,3.2,3.25,4.75,6.25,6.25,7.2,10.4,14.5,9.85,17.2,14.6,11.7,11.75,10.25,7.25,3.55
1,금,둔촌동,상선,22.8,31,66.6,69.5,52.45,44.15,38.25,41.4,39.6,35.9,42.8,60.25,59.5,77.05,55.5,33.3,30.85,34.8,15.35,6.55
1,금,둔촌동,하선,11,22.9,46.85,97.35,32.6,24.4,29.65,35.25,37.3,34.85,39.8,49.7,35.05,59.4,43.55,37.95,34.65,32.9,20.75,10.65
1,금,마천,상선,10.5,11.4,23.25,23.85,13.25,9.05,7.55,8.25,7.25,7.2,5.9,7.7,5.55,7.45,3.9,3.15,2.45,2,0.9,0.3
1,금,마천,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,금,방이,상선,22.4,28.65,65.4,67.95,49.65,37.65,30.3,33.75,33.75,28.4,33.65,46.9,45.3,70.1,45.05,28.05,25.95,26.85,11.2,2.45
1,금,방이,하선,9.4,17.85,30.65,66.1,22.95,17.05,22.2,26.15,28,27.55,33,44.3,32.6,53.75,40.85,35.75,32.75,34.85,20,8.75
1,금,오금,상선,20,24.4,57.45,62.05,44.1,32.95,26.65,29.9,29.95,26.45,30.75,44.75,41.75,61.6,39.25,24.8,21.45,21.35,10.4,2.15
1,금,오금,하선,3,10.45,11.25,29.55,11.55,10.75,15.1,20.2,22.85,25.25,31.95,45.5,31.65,56.95,47.1,37.8,34.45,35.6,21.9,9.25
1,금,올림픽공원,상선,16.7,23.55,49.8,54.7,40.75,34.5,29.5,32.3,31.45,28.6,34.95,48.55,47.1,64.9,45.6,28.45,25.95,29.7,13.25,5.55
1,금,올림픽공원,하선,7.7,16.35,29.65,66.25,21,16.5,20.95,25.05,27.2,26.7,33.6,44.35,29.85,52.55,38.9,33.7,30.6,29.45,20.1,8.7
1,목,강동,상선,24.9,40.1,66.25,92.85,70,49.4,40.8,44.05,36.15,33.8,36.6,45.1,44.4,46.6,32.7,22.85,19.8,20.6,11.7,2.95
1,목,강동,하선,8.5,21.9,32.8,61.35,22.05,20.6,27.1,35,38.05,38.2,48.95,60.4,65.85,92.3,69.25,54.55,54.15,46,30.85,14.9
1,목,개롱,상선,25.1,26.9,65.1,69.35,42.3,30.75,24.3,26.35,24.4,22.05,21.65,31.7,23.5,26.7,17.55,11.8,10.6,8.85,4.25,1.05
